seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag;;;
15;39.0198;39;0.347739;15;731.694;0.000510097;0;;;
15;24.0236;24;0.293752;16;450.488;0.000430903;0;;;
15;1.53334;-1;0.687408;17;28.7531;0.00100835;0;;;
15;33.3136;33;0.283847;18;624.693;0.000416374;1;;;
15;28.6948;29;0.207744;19;538.082;0.000304739;0;;;
16;33.7107;34;0.73129;0;785.644;0.000954085;0;;;
16;11.6982;-1;0.577479;1;272.632;0.000753413;0;;;
16;10.3555;-1;1.19269;2;241.34;0.00155606;0;;;
16;16.837;17;0.846904;3;392.394;0.00110492;0;;;
16;25.328;25;2.0631;4;590.281;0.00269164;0;;;
16;3.78314;-1;2.90353;5;88.1679;0.00378812;0;;;
16;29.6526;30;0.69901;6;691.067;0.00091197;0;;;
16;8.52933;-1;4.38995;7;198.78;0.00572739;0;;;
16;37.724;38;0.401783;8;879.176;0.00052419;0;;;
16;1;1;1;9;23.3055;0.00130466;0;;;
16;25.5809;-1;1.62466;10;596.175;0.00211963;0;;;
16;13.4244;-1;0.509718;11;312.862;0.000665009;0;;;
16;21.1226;21;0.769717;12;492.271;0.00100422;0;;;
16;15.2652;-1;0.541064;13;355.763;0.000705904;0;;;
16;36.1926;36;0.234592;14;843.485;0.000306063;1;;;
16;31.2056;31;0.411563;15;727.26;0.00053695;0;;;
16;19.154;19;0.359837;16;446.392;0.000469465;0;;;
16;50.8044;51;0.209048;17;1184.02;0.000272737;1;;;
16;26.7927;27;0.346931;18;624.416;0.000452627;0;;;
16;23.0907;23;0.251461;19;538.138;0.00032807;0;;;
17;34.6014;35;0.78642;0;785.578;0.00106195;0;;;
17;12.0794;12;0.575336;1;274.247;0.000776911;0;;;
17;10.6449;-1;1.21392;2;241.678;0.00163923;0;;;
17;17.2711;-1;0.912378;3;392.118;0.00123204;0;;;
17;25.9961;26;2.12088;4;590.207;0.00286396;0;;;
17;3.88884;-1;3.09098;5;88.2908;0.00417394;0;;;
17;30.4314;30;0.768913;6;690.903;0.00103831;0;;;
17;8.75433;-1;4.84727;7;198.755;0.00654558;0;;;
17;38.7281;39;0.433063;8;879.268;0.000584791;0;;;
17;1;1;1;9;22.7036;0.00135036;0;;;
17;26.249;26;1.60226;10;595.947;0.00216364;0;;;
17;14.5214;-1;0.609222;11;329.688;0.00082267;0;;;
17;21.691;22;0.845195;12;492.464;0.00114132;0;;;
17;15.6504;-1;0.567893;13;355.321;0.000766861;0;;;
17;5.12065;-1;2.40284;14;116.257;0.00324471;1;;;
17;32.0167;32;0.415439;15;726.896;0.000560993;0;;;
17;19.8328;20;0.355684;16;450.277;0.000480303;0;;;
17;1.7473;-1;0.491331;17;39.67;0.000663474;1;;;
17;27.504;-1;0.352298;18;624.44;0.00047573;0;;;
17;13.5204;-1;0.432891;19;306.962;0.00058456;1;;;
18;34.3369;34;0.829122;0;785.661;0.00116211;0;;;
18;11.979;12;0.576877;1;274.091;0.000808557;0;;;
18;10.6056;-1;1.22928;2;242.667;0.00172297;0;;;
18;17.1323;17;0.96849;3;392.003;0.00135745;0;;;
18;25.728;26;2.19863;4;588.681;0.00308163;0;;;
18;3.86142;-1;3.2119;5;88.3529;0.00450183;0;;;
18;30.1854;30;0.832428;6;690.672;0.00116674;0;;;
18;8.67949;-1;5.2642;7;198.595;0.00737836;0;;;
18;38.4402;38;0.458295;8;879.549;0.000642351;0;;;
18;1;1;1;9;22.8809;0.00140161;0;;;
18;25.9841;26;1.63094;10;594.541;0.00228594;0;;;
18;14.4144;-1;0.606563;11;329.814;0.000850165;0;;;
18;21.5259;-1;0.916797;12;492.534;0.00128499;0;;;
18;15.5471;-1;0.569074;13;355.732;0.00079762;0;;;
18;5.27242;-1;2.23287;14;120.638;0.00312962;0;;;
18;31.7535;32;0.413207;15;726.551;0.000579156;0;;;
18;19.2179;19;0.306337;16;439.723;0.000429365;0;;;
18;20.007;20;0.259469;17;457.779;0.000363675;1;;;
18;27.079;27;0.374402;18;619.592;0.000524766;0;;;
18;13.4179;-1;0.432468;19;307.015;0.000606152;0;;;
19;33.8103;34;0.875282;0;785.675;0.00125412;0;;;
19;11.7844;-1;0.592189;1;273.844;0.000848499;0;;;
19;10.5586;-1;1.27802;2;245.358;0.00183117;0;;;
19;16.8684;17;1.03099;3;391.984;0.00147723;0;;;
19;25.2806;25;2.26946;4;587.466;0.00325172;0;;;
19;3.82967;-1;3.4218;5;88.9929;0.00490282;0;;;
19;29.7081;30;0.903923;6;690.35;0.00129516;0;;;
19;8.54489;-1;5.7109;7;198.564;0.00818268;0;;;
19;37.8603;38;0.485696;8;879.79;0.000695914;0;;;
19;1;1;1;9;23.2378;0.00143282;0;;;
19;25.5235;-1;1.79723;10;593.108;0.00257511;0;;;
19;14.1864;14;0.603388;11;329.661;0.000864546;0;;;
19;21.1874;21;0.991364;12;492.347;0.00142044;0;;;
19;15.3178;-1;0.570525;13;355.952;0.000817459;0;;;
19;5.03809;5;2.59109;14;117.074;0.00371256;0;;;
19;31.2636;31;0.408829;15;726.496;0.000585778;0;;;
19;19.0159;19;0.33955;16;441.888;0.000486513;0;;;
19;22.7568;23;0.21009;17;528.817;0.000301021;1;;;
19;26.6999;27;0.354874;18;620.445;0.00050847;0;;;
19;13.2059;-1;0.425589;19;306.877;0.000609791;0;;;
20;33.2886;33;0.918437;0;785.658;0.0013368;0;;;
20;11.6033;-1;0.58354;1;273.855;0.000849349;0;;;
20;10.4021;-1;1.2756;2;245.504;0.00185665;0;;;
20;16.501;-1;1.06515;3;389.447;0.00155034;0;;;
20;24.8912;25;2.42;4;587.469;0.00352233;0;;;
20;3.89057;-1;3.41487;5;91.823;0.00497038;0;;;
20;29.2527;29;0.97951;6;690.405;0.00142569;0;;;
20;8.41361;-1;6.12956;7;198.573;0.00892164;0;;;
20;37.2846;37;0.511629;8;879.969;0.000744682;0;;;
20;1;1;1;9;23.6014;0.00145551;0;;;
20;25.1063;25;1.86071;10;592.545;0.00270829;0;;;
20;13.9441;14;0.59998;11;329.101;0.000873277;0;;;
20;20.8639;21;1.06765;12;492.419;0.00155398;0;;;
20;15.084;15;0.568755;13;356.003;0.000827828;0;;;
20;4.99852;5;2.65611;14;117.972;0.003866;0;;;
20;30.542;-1;0.390917;15;720.833;0.000568985;0;;;
20;18.8213;19;0.35293;16;444.21;0.000513693;0;;;
20;50.1492;50;0.218329;17;1183.59;0.00031778;1;;;
20;26.4725;-1;0.334667;18;624.789;0.000487112;0;;;
20;12.9675;13;0.396414;19;306.052;0.000576985;0;;;
21;6.63785;-1;0.346744;0;785.667;0.00140647;0;;;
21;1.48306;-1;0.47586;1;175.538;0.0019302;1;;;
21;2.04829;-1;0.456904;2;242.439;0.00185331;0;;;
21;3.30909;-1;0.417016;3;391.67;0.00169151;0;;;
21;4.95798;5;0.815082;4;586.835;0.00330616;0;;;
21;0.774244;-1;1.28348;5;91.6409;0.00520608;0;;;
21;5.83093;-1;0.378029;6;690.159;0.00153337;0;;;
21;1.67699;-1;2.37073;7;198.492;0.0096162;0;;;
21;7.43626;-1;0.194208;8;880.169;0.00078775;0;;;
21;0.234217;-1;0.332934;9;27.7223;0.00135045;0;;;
21;5.00317;5;0.644488;10;592.185;0.00261419;0;;;
21;2.76303;-1;0.218892;11;327.037;0.000887877;0;;;
21;4.16041;-1;0.414915;12;492.434;0.00168299;0;;;
21;3.01614;3;0.197377;13;356.995;0.000800607;0;;;
21;1;1;1;14;118.362;0.00405623;0;;;
21;6.09336;-1;0.135346;15;721.221;0.000548994;0;;;
21;3.75261;-1;0.125085;16;444.165;0.000507373;0;;;
21;2.53964;-1;0.207517;17;300.596;0.000841735;1;;;
21;5.27159;-1;0.123203;18;623.954;0.00049974;0;;;
21;2.4578;-1;0.126687;19;290.91;0.000513871;0;;;
22;3.96237;4;0.142663;0;785.852;0.00146235;0;;;
22;0.886313;-1;0.173429;1;175.781;0.00177773;0;;;
22;1.216;-1;0.183411;2;241.167;0.00188004;0;;;
22;1.97396;2;0.173844;3;391.493;0.00178198;0;;;
22;0.70905;-1;0.0618687;4;140.625;0.000634181;1;;;
22;0.463465;-1;0.52685;5;91.9184;0.00540045;0;;;
22;3.47767;-1;0.159603;6;689.721;0.001636;0;;;
22;1;1;1;7;198.329;0.0102504;0;;;
22;4.45193;-1;0.0795057;8;882.945;0.000814968;0;;;
22;0.140541;-1;0.131;9;27.8733;0.00134281;0;;;
22;2.97737;3;0.265359;10;590.497;0.00272005;0;;;
22;1.64881;-1;0.0838663;11;327.005;0.000859666;0;;;
22;2.48149;-1;0.175997;12;492.15;0.00180405;0;;;
22;1.79904;-1;0.0752257;13;356.801;0.000771096;0;;;
22;0.599671;-1;0.418266;14;118.932;0.00428741;0;;;
22;3.6588;-1;0.0529727;15;725.644;0.000542994;0;;;
22;2.24247;-1;0.0490477;16;444.746;0.00050276;0;;;
22;1.52753;-1;0.0598221;17;302.952;0.000613203;0;;;
22;3.10025;-1;0.0359473;18;614.868;0.000368476;0;;;
22;1.40798;-1;0.074636;19;279.242;0.000765052;0;;;
23;11.1516;11;0.63231;0;785.848;0.00150665;0;;;
23;2.57757;-1;0.99765;1;181.641;0.00237717;0;;;
23;3.41417;-1;0.804806;2;240.596;0.00191767;0;;;
23;5.55632;-1;0.78003;3;391.553;0.00185863;0;;;
23;1.99554;2;0.314924;4;140.625;0.000750393;0;;;
23;1.30688;-1;2.35554;5;92.0957;0.00561271;0;;;
23;9.75033;-1;0.724887;6;687.104;0.00172724;0;;;
23;2.82159;-1;4.34786;7;198.837;0.01036;0;;;
23;12.5302;-1;0.357403;8;883.003;0.00085161;0;;;
23;0.437362;-1;0.401746;9;30.8208;0.000957269;0;;;
23;8.37916;-1;1.21372;10;590.478;0.00289202;0;;;
23;4.63427;-1;0.349077;11;326.576;0.000831771;0;;;
23;6.97974;7;0.807055;12;491.861;0.00192303;0;;;
23;5.0644;5;0.306726;13;356.887;0.000730858;0;;;
23;1.68909;-1;1.90501;14;119.03;0.00453921;0;;;
23;1;1;1;15;70.4698;0.00238277;1;;;
23;6.32612;-1;0.211384;16;445.8;0.000503681;0;;;
23;4.25322;-1;0.278924;17;299.724;0.000664612;0;;;
23;0.23903;-1;0.421416;18;16.8444;0.00100414;1;;;
23;3.987;4;0.361714;19;280.963;0.000861882;0;;;
24;3.95842;4;0.141654;0;785.847;0.00153924;0;;;
24;0.914948;-1;0.181909;1;181.641;0.00197665;0;;;
24;1.20927;-1;0.175852;2;240.071;0.00191083;0;;;
24;1.97229;2;0.177263;3;391.551;0.00192617;0;;;
24;0.708347;-1;0.0797195;4;140.625;0.000866245;0;;;
24;0.464548;-1;0.540628;5;92.2247;0.00587454;0;;;
24;3.46057;-1;0.167816;6;687.012;0.00182351;0;;;
24;1;1;1;7;198.526;0.0108662;0;;;
24;4.44875;-1;0.0810856;8;883.191;0.000881089;0;;;
24;0.178567;-1;0.0692848;9;35.4501;0.00075286;0;;;
24;2.97428;3;0.279624;10;590.47;0.00303844;0;;;
