seq;freq_ratio;hamonic;amp_ratio;track;freq;amp;newflag
138;4.62583;-1;0.000331928;19;539.062;0.000016359;0
138;5.01147;5;0.0097595;14;584.002;0.000480995;0
138;5.65168;-1;0.000215977;0;658.609;1.06443E-005;1
138;6.01302;6;0.00329566;7;700.716;0.000162425;0
138;6.28509;-1;0.00042066;18;732.422;2.07321E-005;0
138;7.01524;7;0.00545743;3;817.509;0.000268968;0
138;7.58291;-1;0.000272625;15;883.66;1.34362E-005;1
138;8.02881;8;0.00472275;10;935.623;0.000232759;0
138;9.0398;9;0.000336321;9;1053.44;1.65755E-005;0
138;10.978;11;0.00106909;16;1279.3;0.00005269;0
139;0.155986;-1;0.0209551;8;18.1819;0.00102001;0
139;0.312727;-1;0.0267387;1;36.4518;0.00130154;0
139;0.75403;-1;0.00955445;4;87.8906;0.000465074;0
139;1;1;1;6;116.561;0.0486762;0
139;1.57333;-1;0.0019086;15;183.389;9.29032E-005;1
139;1.99188;2;0.0799667;2;232.176;0.00389247;0
139;2.5637;-1;0.001961;13;298.828;9.54541E-005;0
139;2.99686;3;0.040253;17;349.318;0.00195936;0
139;3.56908;-1;0.000979186;11;416.016;0.000047663;0
139;3.99878;4;0.00782369;5;466.102;0.000380827;0
139;4.50032;-1;0.000355132;12;524.562;1.72865E-005;0
139;5.00948;5;0.0095483;14;583.911;0.000464775;0
139;5.63885;-1;0.000220764;0;657.271;1.07459E-005;0
139;6.01326;6;0.00319205;7;700.913;0.000155377;0
139;6.31039;-1;0.00069728;18;735.547;3.39409E-005;0
139;6.35385;-1;0.000320592;19;740.613;1.56052E-005;1
139;7.00389;7;0.00543129;3;816.382;0.000264374;0
139;8.02557;8;0.00463052;10;935.47;0.000225396;0
139;8.99809;9;0.000359342;9;1048.83;1.74914E-005;0
139;10.9738;11;0.00104953;16;1279.11;5.10869E-005;0
140;0.0944689;-1;0.0214324;8;11.0143;0.00103044;0
140;0.380499;-1;0.0293122;1;44.3632;0.00140929;0
140;0.514311;-2;0.0266315;4;59.9646;0.0012804;1
140;1;1;1;6;116.592;0.0480785;0
140;1.57493;-1;0.00211767;15;183.624;0.000101815;0
140;1.99333;2;0.0803013;2;232.406;0.00386077;0
140;2.51698;-1;0.00228678;13;293.46;0.000109945;0
140;2.99658;3;0.0412214;17;349.378;0.00198186;0
140;3.54326;-1;0.00104645;19;413.117;5.03117E-005;1
140;3.62366;-1;0.000764375;11;422.49;0.00003675;0
140;3.99513;4;0.00785844;5;465.801;0.000377822;0
140;4.47272;-1;0.000428028;12;521.484;2.05789E-005;0
140;5.00674;5;0.00932206;14;583.746;0.000448191;0
140;5.66909;-1;0.00026277;0;660.971;1.26336E-005;0
140;6.0075;6;0.00312721;7;700.428;0.000150352;0
140;6.30484;-1;0.000547603;18;735.095;2.63279E-005;0
140;7.00272;7;0.00540263;3;816.462;0.000259751;0
140;8.01482;8;0.00449792;10;934.465;0.000216253;0
140;9.01628;9;0.000327387;9;1051.23;1.57403E-005;0
140;10.9704;11;0.00102993;16;1279.07;4.95176E-005;0
141;0.0846757;-12;0.0203981;8;9.87474;0.000968869;0
141;0.372977;-1;0.0293119;1;43.4959;0.00139226;0
141;0.513065;-2;0.0245437;4;59.8328;0.00116578;0
141;1;1;1;6;116.618;0.047498;0
141;1.62015;-1;0.00193488;15;188.94;9.19032E-005;0
141;1.99247;2;0.0810715;2;232.359;0.00385074;0
141;2.33148;-1;0.00189876;13;271.894;9.01873E-005;0
141;2.54289;-1;0.00251378;11;296.548;0.0001194;1
141;2.99522;3;0.0423894;17;349.297;0.00201341;0
141;3.57415;-1;0.00129979;19;416.811;6.17375E-005;0
141;3.9949;4;0.00779312;5;465.879;0.000370158;0
141;4.4831;-1;0.000414373;12;522.811;1.96819E-005;0
141;4.99888;5;0.00911967;14;582.961;0.000433167;0
141;5.67675;-1;0.000256001;0;662.014;1.21596E-005;0
141;6.00961;6;0.00298977;7;700.831;0.000142008;0
141;6.28226;-1;0.000535776;18;732.627;2.54483E-005;0
141;7.00038;7;0.00533842;3;816.373;0.000253565;0
141;8.01278;8;0.00437214;10;934.438;0.000207668;0
141;9.01913;9;0.000349075;9;1051.8;1.65804E-005;0
141;10.9664;11;0.00100564;16;1278.88;0.000047766;0
142;0.350383;-1;0.027389;1;40.8639;0.00128601;0
142;0.522753;-1;0.0229392;4;60.9668;0.00107708;0
142;1;1;1;6;116.626;0.0469536;0
142;1.99213;2;0.0814236;2;232.335;0.00382313;0
142;2.25767;-1;0.00400718;13;263.304;0.000188151;0
142;2.52653;-1;0.00244586;11;294.66;0.000114842;0
142;2.99579;3;0.04338;17;349.389;0.00203685;0
142;3.57594;-1;0.00132108;19;417.049;6.20297E-005;0
142;3.98678;4;0.00778541;5;464.964;0.000365553;0
142;4.16997;-1;0.000415727;8;486.328;1.95199E-005;1
142;4.49797;-1;0.000415364;12;524.582;1.95029E-005;0
142;5.00067;5;0.0088559;14;583.21;0.000415816;0
142;5.63442;-1;0.000294858;0;657.122;1.38447E-005;0
142;6.00797;6;0.00289794;7;700.688;0.000136069;0
142;6.25182;-1;0.000552289;18;729.127;0.000025932;0
142;7.00052;7;0.00526752;3;816.446;0.000247329;0
142;8.01121;8;0.00421972;10;934.318;0.000198131;0
142;8.99144;9;0.000358758;9;1048.64;0.000016845;0
142;9.97321;10;0.000288951;15;1163.14;1.35673E-005;1
142;10.9661;11;0.000980458;16;1278.93;0.000046036;0
143;0.351666;-1;0.024951;1;41.0156;0.00115872;0
143;0.529543;-1;0.022802;4;61.7618;0.00105892;0
143;1;1;1;6;116.632;0.0464398;0
143;1.72764;-1;0.00307917;0;201.499;0.000142996;1
143;1.99409;2;0.0811447;2;232.575;0.00376834;0
143;2.28196;-1;0.00531292;13;266.15;0.000246731;0
143;2.33669;-1;0.00227793;15;272.534;0.000105787;1
143;2.58219;-1;0.00217387;11;301.167;0.000100954;0
143;2.99552;3;0.0444749;17;349.374;0.00206541;0
143;3.56896;-1;0.00138939;19;416.256;6.45231E-005;0
143;3.98945;4;0.00785323;5;465.298;0.000364703;0
143;4.18022;-1;0.000421751;8;487.548;0.000019586;0
143;4.52973;-1;0.00044228;12;528.313;2.05394E-005;0
143;4.99967;5;0.0085401;14;583.122;0.0003966;0
143;6.00584;6;0.0027995;7;700.475;0.000130008;0
143;6.30906;-1;0.000493635;18;735.839;2.29243E-005;0
143;6.99744;7;0.0051367;3;816.127;0.000238547;0
143;8.01919;8;0.0040348;10;935.296;0.000187375;0
143;8.99976;9;0.000384722;9;1049.66;1.78664E-005;0
143;10.9677;11;0.000954487;16;1279.19;4.43262E-005;0
144;0.335913;-3;0.0278545;1;39.1752;0.00128038;0
144;0.52211;-1;0.0244977;4;60.8901;0.00112608;0
144;1;1;1;6;116.623;0.0459666;0
144;1.75847;-1;0.00338985;0;205.078;0.00015582;0
144;1.9944;2;0.0810256;2;232.593;0.00372447;0
144;2.21032;-1;0.00482306;13;257.774;0.0002217;0
144;2.51015;-1;0.00257363;11;292.741;0.000118301;0
144;2.9962;3;0.0454787;17;349.427;0.0020905;0
144;3.56718;-1;0.00123102;19;416.016;5.65856E-005;0
144;3.81839;-1;0.000862612;9;445.312;3.96514E-005;1
144;3.9862;4;0.0078564;5;464.883;0.000361132;0
144;4.17008;-1;0.000312439;8;486.328;1.43618E-005;0
144;4.61172;-1;0.000422736;12;537.834;1.94317E-005;0
144;4.98945;5;0.00832656;14;581.885;0.000382744;0
144;5.62652;-1;0.000332762;15;656.182;0.000015296;1
144;6.00429;6;0.00270007;7;700.239;0.000124113;0
144;6.31297;-1;0.000470802;18;736.238;2.16412E-005;0
144;6.99717;7;0.0050049;3;816.032;0.000230059;0
144;8.0185;8;0.0038533;10;935.143;0.000177123;0
144;10.9691;11;0.000921972;16;1279.25;4.23799E-005;0
145;0.385032;-1;0.0304156;1;44.8986;0.00138481;0
145;0.665347;-1;0.00479266;4;77.5862;0.000218207;0
145;1;1;1;6;116.61;0.0455294;0
145;1.99459;2;0.0805945;2;232.589;0.00366942;0
145;2.18069;-1;0.00549979;13;254.291;0.000250403;0
145;2.52742;-1;0.0025808;11;294.723;0.000117502;0
145;2.99705;3;0.0464454;17;349.487;0.00211463;0
145;3.56758;-1;0.00125531;19;416.016;5.71536E-005;0
145;3.81882;-1;0.000916289;9;445.312;4.17181E-005;0
145;3.98607;4;0.00793038;5;464.816;0.000361066;0
145;4.2208;-1;0.000243544;8;492.188;1.10884E-005;0
145;4.57253;-1;0.000388227;12;533.203;1.76758E-005;0
145;4.99061;5;0.00809492;14;581.955;0.000368557;0
145;5.99855;6;0.00254147;7;699.49;0.000115712;0
145;6.33193;-1;0.000446596;18;738.366;2.03333E-005;0
145;6.99333;7;0.00483211;3;815.492;0.000220003;0
145;8.00858;8;0.00366721;10;933.88;0.000166966;0
145;9.00015;9;0.000440848;0;1049.51;2.00716E-005;1
145;9.96663;10;0.000362543;15;1162.21;1.65064E-005;1
145;10.9794;11;0.000890772;16;1280.31;4.05563E-005;0
146;0.37208;-1;0.0319927;1;43.3832;0.0014437;0
146;0.538737;-1;0.0224716;4;62.8149;0.00101405;0
146;1;1;1;6;116.597;0.045126;0
146;1.55786;-1;0.0020156;8;181.641;0.000090956;1
146;1.99624;2;0.079566;2;232.755;0.0035905;0
146;2.19652;-1;0.00537475;13;256.107;0.000242541;0
146;2.49935;-1;0.00259426;11;291.416;0.000117068;0
146;2.99676;3;0.0474872;17;349.412;0.00214291;0
