seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag
20;4.44469;-1;0.0823799;6;883.571;0.000714111;0
20;1.94175;-1;0.1433;8;386.006;0.0012422;1
20;0.818614;-1;0.128554;9;162.734;0.00111437;1
20;0.160279;-1;0.131754;10;31.8622;0.00114211;0
20;2.48544;-1;0.228961;11;494.088;0.00198475;0
20;1.66361;-1;0.10915;12;330.713;0.000946168;0
20;0.462558;-1;0.568544;13;91.9532;0.00492843;0
20;3.47186;-1;0.159942;14;690.18;0.00138646;0
20;2.26154;-1;0.0619368;15;449.578;0.0005369;0
20;1.39964;-1;0.0813486;16;278.238;0.000705172;0
20;2.51574;-1;0.141097;17;500.111;0.0012231;0
20;0.592422;-1;0.442922;18;117.769;0.00383948;0
20;1.54076;-1;0.0744762;19;306.291;0.000645598;0
20;1;1;1;0;198.793;0.00866851;0
20;2.01712;2;0.118336;4;400.988;0.0010258;0
20;2.95107;3;0.264693;5;586.65;0.0022945;0
20;3.9536;4;0.153208;1;785.947;0.00132808;0
21;0.0547926;-18;0.129475;7;10.9116;0.00120232;0
21;0.164114;-6;0.133252;10;32.6823;0.0012374;0
21;1.78848;-1;0.104118;2;356.166;0.000966855;0
21;1.28455;-1;0.116265;3;255.812;0.00107966;0
21;4.43776;-1;0.082723;6;883.755;0.000768182;0
21;1.92525;-1;0.114997;8;383.404;0.00106789;0
21;0.805799;-1;0.0911137;9;160.471;0.000846099;0
21;2.47987;-1;0.206899;11;493.853;0.00192131;0
21;1.64767;-1;0.107147;12;328.125;0.000994988;0
21;0.462267;-1;0.54961;13;92.058;0.00510379;0
21;3.46479;-1;0.162183;14;689.994;0.00150606;0
21;1.19529;-1;0.156399;15;238.035;0.00145235;1
21;2.51842;-1;0.113834;17;501.53;0.00105708;0
21;0.596995;-1;0.439392;18;118.888;0.00408028;0
21;1.54;-1;0.0778041;19;306.683;0.000722504;0
21;1;1;1;0;199.145;0.00928619;0
21;2.00465;2;0.0947191;4;399.214;0.00087958;0
21;2.02564;2;0.0500578;16;403.394;0.000464846;1
21;2.9453;3;0.268568;5;586.54;0.00249397;0
21;3.94721;4;0.151857;1;786.065;0.00141017;0
22;0.167198;-6;0.112797;10;33.3391;0.00110637;0
22;1.78833;-1;0.103945;2;356.59;0.00101954;0
22;1.27339;-1;0.112114;3;253.912;0.00109966;0
22;4.43394;-1;0.0834247;6;884.123;0.000818268;0
22;0.0692345;-1;0.127506;7;13.8053;0.00125064;0
22;1.92783;-1;0.124454;8;384.408;0.0012207;0
22;0.791933;-1;0.17734;9;157.91;0.00173943;0
22;2.47177;-1;0.165885;11;492.868;0.00162708;0
22;1.64557;-1;0.110139;12;328.125;0.0010803;0
22;0.464074;-1;0.531167;13;92.5359;0.00520994;0
22;3.44547;-1;0.163363;14;687.022;0.00160234;0
22;1.18893;-1;0.148454;15;237.071;0.00145611;0
22;0.747231;-1;0.145389;16;148.997;0.00142604;1
22;2.50836;-1;0.106293;17;500.164;0.00104257;0
22;0.604531;-1;0.458098;18;120.543;0.00449324;0
22;1.53125;-1;0.0781086;19;305.329;0.000766126;0
22;1;1;1;0;199.399;0.00980847;0
22;2.01054;2;0.115663;4;400.898;0.00113448;0
22;2.94132;3;0.272311;5;586.495;0.00267095;0
22;3.94319;4;0.15138;1;786.268;0.00148481;0
23;0.0709307;-14;0.115975;7;14.1523;0.00118497;0
23;1.77503;-1;0.102706;2;354.16;0.0010494;0
23;1.23308;-1;0.162935;3;246.026;0.00166478;0
23;4.43319;-1;0.0846136;6;884.522;0.000864539;0
23;1.91927;-1;0.116857;8;382.937;0.00119399;0
23;0.795181;-1;0.241264;9;158.657;0.00246511;0
23;0.179605;-1;0.110815;10;35.8354;0.00113225;0
23;2.46666;-1;0.142854;11;492.155;0.00145961;0
23;1.65518;-1;0.105853;12;330.246;0.00108155;0
